avgtemp,cloudcover,volume
66.5,7.599999905,501
61,6.300000191,419
63,7.5,397
78,2.599999905,385
48,10,200
61.5,6.599999905,375
52.5,2.400000095,417
52,0,629
67.5,3.799999952,533
62,4.099999905,547
66.5,8.5,432
56.5,7.199999809,418
45,10,193
47,7.699999809,331
42.5,5.800000191,280
43,3.599999905,304
84,6.099999905,352
59,6.300000191,156
49,8.600000381,365
39.5,10,181
59.5,7.900000095,514
52.5,6.800000191,259
55,5.199999809,452
38,9.699999809,189
48,4.400000095,362
73,10,256
61,10,155
46.5,6.5,174
49,0,259
68.5,1.200000048,535
60,1.799999952,650
62,8,409
49.5,9.399999619,311
64.5,5,736
47.5,5.800000191,186
55,6.699999809,371
35,0,291
33,0,287
77.5,8.399999619,411
50,0,461
60,0,540
62.5,7.900000095,376
66.5,9.899999619,554
55,6.400000095,339
46.5,2.400000095,344
46,1.200000048,348
59.5,4.099999905,517
58.5,9.899999619,328
74,9.699999809,298
47,0,335
52,3.900000095,186
76.5,8.899999619,505
54.5,10,156
48.5,7,362
63,7,507
53,6.800000191,407
61,6.800000191,421
47.5,4.300000191,393
55.5,5.099999905,422
52.5,3.400000095,349
45,10,150
60,0.400000006,429
47,10,293
64.5,4.599999905,461
77,9.899999619,388
51.5,6.400000095,322
46,9.699999809,129
56.5,4,415
66,3,460
71.5,8.199999809,405
78,6.599999905,453
79,7.900000095,395
71,6.199999809,531
50.5,0.800000012,236
68,6.199999809,484
55,0.400000006,445
47,1.700000048,252
79,9,286
54.5,6.900000095,400
52.5,10,261
64.5,7.800000191,339
56.5,0.699999988,617
50,9.600000381,316
45,5.699999809,367
53.5,2.5,635
80.5,4.099999905,449
42.5,9.399999619,314
49,9,264
73,1.899999976,356
66.5,3.799999952,564
